STFIPS,NAME,YEAR,AdmAlc,AdmCoc,AdmMar,AdmHer,AdmOpi,AdmBen,AdmNMJ,RatAlc,RatCoc,RatMar,RatHer,RatOpi,RatBen,RatNMJ,lRatAlc,lRatCoc,lRatMar,lRatHer,lRatOpi,lRatBen,lRatNMJ,P017,P1824,P2565,P65
42,Pennsylvania,2014,12674,2044,5113,16116,4692,426,37405,99.1586070633256,15.99180943959583,40.00299494356823,126.08806307657846,36.709182921029175,3.332930930170168,292.64854798829845,4.606755000139724,2.8327314302835913,3.7136451114405795,4.844880256212717,3.6299036436006036,1.4662442022130369,5.682383637254442,0.211497391199169,0.0968883021400468,0.524596678194487,0.167017628466297
44,Rhode Island,2010,4160,880,1588,2055,1359,71,8824,396.14331627187244,83.79954767289608,151.22009284608976,195.6909891679562,129.41316509939293,6.761099869063206,840.2809189382217,5.984297213708955,4.440290208737594,5.025327452785779,5.28163391432006,4.870707603747673,2.049124059855593,6.734925633850522,0.212821330793953,0.114134983930484,0.52789810736817,0.145145577907392
44,Rhode Island,2011,4387,846,1515,2517,1502,86,9648,418.14204629395755,80.63555303503261,144.4005471017428,239.9050673630935,143.16146649954965,8.19699475297022,919.588434612287,6.038209875105082,4.402264866039564,4.979492327827847,5.484402944530738,4.970933966529913,2.2188767734050363,6.825013068423809,0.210200492772824,0.114363327026731,0.528851038683143,0.146585141517302
44,Rhode Island,2012,4269,829,1239,2632,1436,112,9636,406.31022913841105,78.90165845765817,117.92419159111999,250.50562733480857,136.674042877198,10.65981392914079,917.1247055464344,6.009575128845291,4.380796609223372,4.778486244659084,5.527465364378178,4.924888883079332,2.4561482227453406,6.822333226216242,0.207013586503914,0.114432150760226,0.527144930639827,0.151409332096033
44,Rhode Island,2013,4086,781,1230,3703,1335,91,10387,388.8077418986492,74.31689829242414,117.04197810458604,352.3629633506359,127.03336647936779,8.65920325814417,988.3862004653132,5.9656536480836415,4.321704522543036,4.771040307851863,5.867495753461608,4.852290905569692,2.2679111663699074,6.897084751319461,0.204400968688892,0.112822757528035,0.527751794881554,0.155024478901518
44,Rhode Island,2014,4005,723,980,3906,1122,93,10117,380.73925207790467,68.73270393316481,93.16466093292048,371.3277200040688,106.66403017013958,8.841136190573067,961.7825251615884,5.944737789355065,4.244669417666889,4.545044961864148,5.919774434201686,4.679015546670878,2.2865711709200696,6.86982755572508,0.201917290695607,0.111445848991493,0.528294963119153,0.158341897193747
46,South Dakota,2010,11326,97,1967,40,350,27,12673,1394.1562621939436,11.940063343882441,242.12478966409032,4.923737461394821,43.08270278720468,3.3235227864415045,1559.9631212064141,7.240761703891789,2.5603281842603436,5.49357484923749,1.7789675776305833,3.7860674784641395,1.4640705297737215,7.353058295128356,0.250136941448145,0.0990348243641301,0.507045252840073,0.143782981347652
46,South Dakota,2011,10704,106,2061,61,387,15,12158,1305.9678729951124,12.932790969495693,251.4573791333078,7.442455180558843,47.21688778485692,1.830111929645617,1483.366722708761,7.175465132599167,2.6342451244706986,5.5312424389561965,2.1332731644756757,3.8757093286721105,1.0403162619845472,7.302743510927045,0.248937925043496,0.0995727298681587,0.507881682043674,0.143607663044672
46,South Dakota,2012,10921,98,2069,76,372,10,12475,1316.4143770145201,11.812893411539509,249.39669865791063,9.161019380377578,44.84077907237446,1.2053972868917866,1503.7331153975038,7.183426289320355,2.550451961718118,5.5230464548655105,2.3185587698316743,3.8251740677327097,0.790907668130288,7.316370829496013,0.247767001526033,0.0998358248895253,0.506694776531397,0.145702397053045
46,South Dakota,2013,10208,59,1819,98,353,8,11767,1217.0520823894662,7.0342939714908415,216.87085990070915,11.684081511967838,42.08653850739435,0.9538025724055377,1402.9243586869954,7.105008207938119,2.083719126192583,5.383902501482747,2.5403477830168395,3.7632106167090447,0.669777510852451,7.247026707555352,0.247764525220925,0.0993921893107346,0.504594943892564,0.148248341575777
